Name,X,Y,zone,initialK
kpkpx_ww94,1877516.722,987426.934,18,3.962527
kpkpx_ww95,1904516.722,987426.934,18,5.021005
kpkpx_ww96,1931516.722,987426.934,18,4.477525
kpkpx_ww97,1958516.722,987426.934,18,5.587769
kpkpx_ww98,1985516.722,987426.934,18,5.167886
kpkpx_ww99,2012516.722,987426.934,18,5.229369
kpkpx_ec2,1846828.182,989948.444,17,6.915245
kpkpx_ec4,1822641.502,1069593.894,17,6.899955
kpkpx_ec5,1853434.122,1067843.454,17,7.080426
kpkpx_ec7,1769516.722,1041426.934,17,6.856119
kpkpx_ec8,1796516.722,1041426.934,17,7.042884
kpkpx_ec9,1823516.722,1041426.934,17,6.994055
kpkpx_ec10,1850516.722,1041426.934,17,6.954254
kpkpx_ec11,1742516.722,1014426.934,17,6.831906
kpkpx_ec13,1796516.722,1014426.934,17,7.019927
kpkpx_ec14,1823516.722,1014426.934,17,6.816357
kpkpx_ec15,1850516.722,1014426.934,17,6.868648
kpkpx_ec16,1769516.722,987426.934,17,6.759633
kpkpx_ec17,1796516.722,987426.934,17,6.901141
kpkpx_ec18,1823516.722,987426.934,17,6.838002
kpkpx_ms2,1769516.722,1203426.934,19,7.024077
kpkpx_ms3,1796516.722,1203426.934,19,6.711744
kpkpx_ms4,1823516.722,1203426.934,19,3.658915
kpkpx_ms5,1850516.722,1203426.934,19,5.130189
kpkpx_ms6,1877516.722,1203426.934,19,5.675296
kpkpx_ms7,1904516.722,1203426.934,19,5.761206
kpkpx_ms8,1931516.722,1203426.934,19,5.98597
kpkpx_ms9,1958516.722,1203426.934,19,12.29177
kpkpx_ms10,1985516.722,1203426.934,19,31.80275
kpkpx_ms11,2012516.722,1203426.934,19,5.189763
kpkpx_ms12,1742516.722,1176426.934,19,6.287155
kpkpx_ms13,1769516.722,1176426.934,19,6.481884
kpkpx_ms14,1796516.722,1176426.934,19,7.52317
kpkpx_ms15,1823516.722,1176426.934,19,6.03719
kpkpx_ms16,1850516.722,1176426.934,19,5.920663
kpkpx_ms17,1877516.722,1176426.934,19,24.33882
kpkpx_ms18,1904516.722,1176426.934,19,50.08679
kpkpx_ms19,1931516.722,1176426.934,19,73.06
kpkpx_ms20,1958516.722,1176426.934,19,34.02263
kpkpx_ms21,1985516.722,1176426.934,19,13.30549
kpkpx_ms22,2012516.722,1176426.934,19,5.856084
kpkpx_ms23,1742516.722,1149426.934,19,6.939886
kpkpx_ms24,1769516.722,1149426.934,19,16.22256
kpkpx_ms25,1796516.722,1149426.934,19,9.260089
kpkpx_ms26,1823516.722,1149426.934,19,11.3611
kpkpx_ms27,1850516.722,1149426.934,19,9.987275
kpkpx_ms28,1877516.722,1149426.934,19,7.584726
kpkpx_ms29,1904516.722,1149426.934,19,73.06
kpkpx_ms30,1931516.722,1149426.934,19,73.06
