Name,X,Y,Type,Error
9089271501_f,564148.9628,331825.092,head,25.0
0089245401_f,567317.4001,331877.4644,head,25.0
1089435201_f,541743.5122,331777.2016,head,25.0
2088590501_f,602126.9986,332273.9558,head,25.0
2089244301_f,567564.1631,331940.9061,head,25.0
3088473501_f,617632.7145,332512.0971,head,25.0
4089155601_f,579406.6129,332096.6902,head,25.0
4089435501_f,541675.8009,331869.5296,head,25.0
8088481001_f,616843.9496,332654.9705,head,25.0
8089311701_f,558708.9642,332069.2623,head,25.0
7410884810_f,616842.6194,332747.5179,head,25.0
4089220601_f,571089.5345,332336.9348,head,25.0
6089243401_f,567763.3583,332374.2141,head,25.0
8089212101_f,572099.7831,332468.0832,head,25.0
0088531001_f,610097.3714,332931.43,head,25.0
0089313703_f,558257.4304,332436.8724,head,25.0
1088591701_f,601850.1982,332856.7885,head,25.0
7510892312_f,569604.8394,332541.7818,head,25.0
1089231202_f,569604.8394,332541.7818,head,25.0
3088480901_f,616859.77,333118.0305,head,25.0
3089310001_f,559088.3001,332534.1889,head,25.0
7088520301_f,611633.5487,330699.808,head,25.0
0089075201_f,590274.8879,333003.5761,head,25.0
3088525601_f,610406.5759,333336.6902,head,25.0
3089200101_f,573893.7459,332944.9594,head,25.0
